FX,ex_sec,ex_cost,opt_sec,opt_cost
836,0.08,37,0.11,6
837,0.07,38,0.28,9
838,0.07,37,0.27,9
839,0.07,35,0.09,6
840,0.08,39,0.48,15
841,0.1,36,0.83,17
842,0.12,42,0.33,12
843,0.08,34,0.24,10
844,0.08,43,0.31,10
845,0.07,37,0.49,11
846,0.07,39,0.39,10
847,0.07,43,0.16,6
848,0.08,35,0.11,6
849,0.08,35,0.23,9
850,0.07,40,0.31,9
851,0.07,35,0.13,6
852,0.08,38,0.29,9
853,0.08,46,0.12,6
854,0.08,39,0.54,11
855,0.08,32,0.09,4
856,0.09,42,0.43,12
857,0.12,42,0.93,15
858,0.08,39,0.33,10
859,0.08,41,0.18,8
860,0.08,39,0.31,10
861,0.08,38,0.23,8
862,0.08,35,1.15,11
863,0.07,37,0.13,6
864,0.07,40,0.54,15
865,0.08,37,1.15,17
866,0.1,42,0.31,12
867,0.07,38,0.19,10
868,0.1,39,0.33,12
869,0.07,37,1.1,15
870,0.07,41,0.41,10
871,0.08,39,0.2,8
872,0.13,42,1.94,21
873,0.16,41,2.73,22
874,0.08,38,1.28,16
875,0.08,38,0.42,12
876,0.09,40,1.25,16
877,0.09,46,2.65,17
878,0.08,36,0.9,12
879,0.05,46,0.13,8
880,0.05,41,0.18,10
881,0.05,39,0.37,11
882,0.05,41,0.21,10
883,0.05,36,0.07,6
884,0.05,41,0.19,10
885,0.05,37,0.15,8
886,0.05,41,0.36,11
887,0.05,39,0.09,6
888,0.05,39,0.74,16
889,0.06,38,1.77,17
890,0.05,38,0.57,12
891,0.05,40,0.12,8
892,0.05,38,0.44,12
893,0.05,38,0.3,10
894,0.05,39,0.83,12
895,0.05,37,0.21,7
896,0.05,37,0.12,10
897,0.05,41,0.19,12
898,0.05,34,0.19,11
899,0.05,33,0.07,6
900,0.05,37,0.33,15
901,0.05,38,0.21,12
902,0.05,38,0.63,17
903,0.06,38,0.14,10
904,0.05,31,0.07,6
905,0.05,38,0.18,9
906,0.05,37,0.14,9
907,0.05,35,0.09,6
908,0.05,35,0.18,10
909,0.05,39,0.22,10
910,0.06,41,0.4,11
911,0.05,39,0.07,6
912,0.06,43,0.3,15
913,0.05,40,0.21,12
914,0.06,39,0.46,17
915,0.05,38,0.13,10
916,0.11,40,1.1,21
917,0.06,41,0.85,16
918,0.11,44,2.82,22
919,0.05,39,0.19,12
920,0.06,41,0.28,12
921,0.05,40,0.19,10
922,0.06,39,0.72,15
923,0.05,38,0.11,8
924,0.07,47,0.73,16
925,0.05,40,0.46,12
926,0.06,39,2.15,17
927,0.05,42,0.11,8
928,0.05,36,0.07,6
929,0.05,40,0.19,9
930,0.05,37,0.13,9
931,0.05,32,0.08,6
932,0.06,39,0.21,12
933,0.05,40,0.18,10
934,0.05,42,0.47,15
935,0.05,48,0.13,8
936,0.05,38,0.2,9
937,0.05,38,0.54,11
938,0.05,38,0.07,6
939,0.05,41,0.05,4
940,0.05,37,0.2,10
941,0.05,43,0.55,11
942,0.05,35,0.13,8
943,0.05,46,0.09,6
944,0.05,33,0.19,10
945,0.05,39,0.2,10
946,0.05,40,0.35,11
947,0.05,37,0.08,6
948,0.05,39,0.61,16
949,0.05,38,0.59,12
950,0.05,40,1.48,17
951,0.05,34,0.15,8
952,0.05,42,0.22,10
953,0.05,44,0.55,11
954,0.05,35,0.14,8
955,0.05,46,0.09,6
956,0.05,42,0.49,12
957,0.05,38,1.03,12
958,0.08,43,0.28,10
959,0.06,37,0.24,7
960,0.15,35,0.12,6
961,0.05,42,0.16,9
962,0.05,35,0.23,9
963,0.09,37,0.11,6
964,0.06,37,0.33,9
965,0.05,43,0.2,10
966,0.05,36,0.37,11
967,0.05,36,0.13,8
968,0.05,36,0.19,9
969,0.05,36,0.66,11
970,0.07,41,0.26,10
971,0.06,37,0.13,8
972,0.06,30,0.1,6
973,0.05,36,0.13,8
974,0.05,41,0.13,8
975,0.05,41,0.05,4
976,0.05,37,0.18,9
977,0.05,41,0.28,10
978,0.05,42,0.29,11
979,0.05,38,0.14,8
980,0.06,39,0.38,11
981,0.05,39,0.12,8
982,0.05,37,1.3,14
983,0.05,44,0.09,6
984,0.05,36,0.27,10
985,0.04,38,0.53,11
986,0.05,41,0.35,11
987,0.05,37,0.15,8
988,0.05,36,0.14,8
989,0.05,40,0.15,8
